Pos.,RiderByFirstName,Team,Points,GC Ranking position
1,Nairo QUINTANA,Movistar Team,886,3
2,Egan BERNAL,Team Sky,826,5
3,Chris FROOME,Team Sky,820,6
4,Steven KRUIJSWIJK,Team Jumbo-Visma,790,7
5,Miguel Ángel LÓPEZ,Astana Pro Team,787,8
6,Thibaut PINOT,Groupama - FDJ,756,9
7,Alejandro VALVERDE,Movistar Team,750,11
8,Romain BARDET,AG2R La Mondiale,678,13
9,Simon YATES,Mitchelton-Scott,665,16
10,Adam YATES,Mitchelton-Scott,653,17
11,Richie PORTE,Trek - Segafredo,651,18
12,Enric MAS,Deceuninck - Quick Step,645,19
13,Dan MARTIN,UAE-Team Emirates,544,24
14,Pello BILBAO,Astana Pro Team,530,25
15,Richard CARAPAZ,Movistar Team,515,27
16,Iván Ramiro SOSA,Team Sky,456,33
17,Ilnur ZAKARIN,Team Katusha - Alpecin,438,34
18,Wilco KELDERMAN,Team Sunweb,410,35
19,Davide FORMOLO,BORA - hansgrohe,366,40
20,Rafał MAJKA,BORA - hansgrohe,344,45
21,Guillaume MARTIN,Wanty - Groupe Gobert,308,57
22,Daryl IMPEY,Mitchelton-Scott,305,59
23,Michael WOODS,EF Education First,296,60
24,Hugh CARTHY,EF Education First,295,61
25,Maximilian SCHACHMANN,BORA - hansgrohe,269,69
26,Tejay VAN GARDEREN,EF Education First,269,68
27,Damiano CARUSO,Bahrain Merida,268,70
28,Tanel KANGERT,EF Education First,238,75
29,Hermann PERNSTEINER,Bahrain Merida,215,81
30,Jesús HERRADA,"Cofidis, Solutions Crédits",214,82
31,Michael ALBASINI,Mitchelton-Scott,208,87
32,Tony GALLOPIN,AG2R La Mondiale,207,89
33,Simon ŠPILAK,Team Katusha - Alpecin,206,90
34,Mikel BIZKARRA,Euskadi Basque Country - Murias,198,93
35,Merhawi KUDUS,Astana Pro Team,195,96
36,Michael MATTHEWS,Team Sunweb,195,95
37,Bjorg LAMBRECHT,Lotto Soudal,193,97
38,Xandro MEURISSE,Wanty - Groupe Gobert,190,104
39,Davide VILLELLA,Astana Pro Team,190,105
40,Chris HAMILTON,Team Sunweb,190,103
41,Riccardo ZOIDL,CCC Team,189,106
42,Daniel NAVARRO,Team Katusha - Alpecin,184,109
43,Sepp KUSS,Team Jumbo-Visma,181,112
44,Dries DEVENYNS,Deceuninck - Quick Step,179,113
45,Warren BARGUIL,Team Arkéa Samsic,178,114
