Rider,Team,Points,Cost
Adam Yates,Mitchelton-Scott,0,20
Alan Banaszek,Caja Rural - Seguros RGA,0,4
Alejandro Valverde,Movistar Team,0,24
Alexandr Riabushenko,UAE-Team Emirates,0,6
Alexis Gougeard,AG2R La Mondiale,0,6
Álvaro Cuadros,Caja Rural - Seguros RGA,0,4
Álvaro Jose Hodeg,Deceuninck - Quick Step,0,12
Amaël Moinard,Arkéa Samsic,0,4
Amanuel Ghebreigzabhier,Team Dimension Data,0,6
André Greipel,Arkéa Samsic,0,12
Andrea Garosio,Bahrain Merida Pro Cycling Team,0,4
Andreas Schillinger,BORA - hansgrohe,0,4
Andrey Amador,Movistar Team,0,10
Andrey Zeits,Astana Pro Team,0,6
Ángel Madrazo,Burgos-BH,0,6
Anthony Delaplace,Arkéa Samsic,0,4
Antoine Duchesne,Groupama - FDJ,0,4
Antonio Nibali,Bahrain Merida Pro Cycling Team,0,4
Antwan Tolhoek,Team Jumbo-Visma,0,8
Arjen Livyns,Roompot - Charles,0,4
Axel Domont,AG2R La Mondiale,0,4
Ben Gastauer,AG2R La Mondiale,0,4
Ben O'Connor,Team Dimension Data,0,10
Benoît Vaugrenard,Groupama - FDJ,0,4
Bert-Jan Lindeman,Team Jumbo-Visma,0,4
Bjorg Lambrecht,Lotto Soudal,0,6
Brice Feillu,Arkéa Samsic,0,4
Carlos Verona,Movistar Team,0,6
Chris Froome,Team Sky,0,16
Chris Hamilton,Team Sunweb,0,6
Christian Knees,Team Sky,0,4
Cristian Camilo Muñoz,UAE-Team Emirates,0,4
Cristián Rodríguez,Caja Rural - Seguros RGA,0,4
Damiano Caruso,Bahrain Merida Pro Cycling Team,0,10
Dan Martin,UAE-Team Emirates,0,16
Daniel Navarro,Team Katusha - Alpecin,0,8
Danilo Wyss,Team Dimension Data,0,4
Darwin Atapuma,Cofidis Solutions Crédits,0,6
Daryl Impey,Mitchelton-Scott,0,8
Davide Formolo,BORA - hansgrohe,0,10
Davide Villella,Astana Pro Team,0,8
Diego Rubio,Burgos-BH,0,6
Dion Smith,Mitchelton-Scott,0,8
Domingos Gonçalves,Caja Rural - Seguros RGA,0,6
Dries Devenyns,Deceuninck - Quick Step,0,6
Edward Ravasi,UAE-Team Emirates,0,6
Egan Bernal,Team Sky,0,22
Enric Mas,Deceuninck - Quick Step,0,18
Enrico Gasparotto,Team Dimension Data,0,8
Erik Baška,BORA - hansgrohe,0,4
Eros Capecchi,Deceuninck - Quick Step,0,4
Esteban Chaves,Mitchelton-Scott,0,12
Fabien Doubey,Wanty - Groupe Gobert,0,4
Fabio Sabatini,Deceuninck - Quick Step,0,6
Fernando Barceló,Euskadi - Murias,0,4
Florian Vachon,Arkéa Samsic,0,4
Floris De Tier,Team Jumbo-Visma,0,6
François Bidard,AG2R La Mondiale,0,6
Garikoitz Bravo,Euskadi - Murias,0,6
