  |    0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16]
 0[    0   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10]
 1[    0    0    0    0    0    0    2   10   10   10   10   10   10   10   10   10   10]
 2[    0    0    0    0    0    0    2    3    3    3    3    5   10   10   10   10   10]
 3[    0    0    0    0    0    0    0    0    3    3    3    5    6    6    8    9    9]
 4[    0    0    0    0    0    0    0    0    0    3    3    5    6    6    7    7    7]
 5[    0    0    0    0    0    0    0    0    0    3    3    5    5    5    5    7    7]
 6[    0    0    0    0    0    0    0    0    0    3    3    5    5    5    5    7    7]
 7[    0    0    0    0    0    0    0    0    0    3    3    4    5    5    5    7    7]
  |    0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16]
 0[    0   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10]
 1[    0    0    0    0    0    0    2   10   10   10   10   10   10   10   10   10   10]
 2[    0    0    0    0    0    0    2    3    3    3    3    5   10   10   10   10   10]
 3[    0    0    0    0    0    0    0    0    3    3    3    5    6    6    8    9    9]
 4[    0    0    0    0    0    0    0    0    0    3    3    5    6    6    7    7    7]
 5[    0    0    0    0    0    0    0    0    0    3    3    5    5    5    5    7    7]
 6[    0    0    0    0    0    0    0    0    0    3    3    5    5    5    5    7    7]
 7[    0    0    0    0    0    0    0    0    0    3    3    4    5    5    5    7    7]
  |    0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16]
 0[    0   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10]
 1[    0   10   10   10   10   10    2   10   10   10   10   10   10   10   10   10   10]
 2[    0   10   10   10   10    3    2   10   10   10   10    5   10   10   10   10   10]
 3[    0   10   10   10   10    3    2   10    6   10   10    5   10    9    8   10   10]
 4[    0   10   10   10   10    3    2   10    6    7   10    5   10    9    8    9   10]
 5[    0   10   10   10   10    3    2   10    6    7   10    5    7    9    8    9   10]
 6[    0   10   10   10   10    3    2    9    6    7   10    5    7    9    8    9   10]
 7[    0   10   10    4   10    3    2    9    6    6   10    5    7    9    8    9   10]
  |    0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16]
 0[    0   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10   10]
 1[    0   10   10   10   10   10    2   10   10   10   10   10   10   10   10   10   10]
 2[    0   10   10   10   10    3    2   10   10   10   10    5   10   10   10   10   10]
 3[    0   10   10   10   10    3    2   10    6   10   10    5   10    9    8   10   10]
 4[    0   10   10   10   10    3    2   10    6    7   10    5   10    9    8    9   10]
 5[    0   10   10   10   10    3    2   10    6    7   10    5    7    9    8    9   10]
 6[    0   10   10   10   10    3    2    9    6    7   10    5    7    9    8    9   10]
 7[    0   10   10    4   10    3    2    9    6    6   10    5    7    9    8    9   10]
