Rider,Team,Points,Cost
Egan Bernal,Team Ineos,1006,20
Rohan Dennis,Bahrain Merida Pro Cycling Team,993,14
Peter Sagan,BORA - hansgrohe,793,16
Michael Matthews,Team Sunweb,575,14
Elia Viviani,Deceuninck - Quick Step,517,12
Patrick Konrad,BORA - hansgrohe,511,12
Domenico Pozzovivo,Bahrain Merida Pro Cycling Team,510,16
Matteo Trentin,Mitchelton-Scott,454,10
Jan Hirt,Astana Pro Team,439,10
Kasper Asgreen,Deceuninck - Quick Step,436,8
Tiesj Benoot,Lotto Soudal,426,10
Hugh Carthy,EF Education First Pro Cycling Team,342,12
Simon Špilak,Team Katusha - Alpecin,329,8
Carlos Betancur,Movistar Team,294,8
Lennard Kämna,Team Sunweb,268,4
Enric Mas,Deceuninck - Quick Step,265,18
Nicolas Roche,Team Sunweb,251,8
Soren Kragh Andersen,Team Sunweb,247,10
Luis Leon Sánchez,Astana Pro Team,232,10
Patrick Bevin,CCC Team,231,8
Ben Swift,Team Ineos,224,8
Marc Soler,Movistar Team,220,14
Jonathan Castroviejo,Team Ineos,216,8
Yves Lampaert,Deceuninck - Quick Step,196,6
Patrick Schelling,Swiss Cycling Team,194,6
Lawson Craddock,EF Education First Pro Cycling Team,189,6
Iván García,Bahrain Merida Pro Cycling Team,186,8
Stefan Küng,Groupama - FDJ,185,10
Jasper Stuyven,Trek - Segafredo,182,8
Mathias Frank,AG2R La Mondiale,181,10
Antwan Tolhoek,Team Jumbo-Visma,174,8
Maciej Bodnar,BORA - hansgrohe,165,6
Reinardt Janse Van Rensburg,Team Dimension Data,160,6
Fabio Felline,Trek - Segafredo,153,8
Sergio Henao,UAE-Team Emirates,144,10
Fabian Lienhard,Swiss Cycling Team,140,4
François Bidard,AG2R La Mondiale,137,6
Tom Scully,EF Education First Pro Cycling Team,136,4
Fabio Aru,UAE-Team Emirates,130,12
Claudio Imhof,Swiss Cycling Team,130,4
John Degenkolb,Trek - Segafredo,122,10
Sep Vanmarcke,EF Education First Pro Cycling Team,117,8
Greg Van Avermaet,CCC Team,105,8
Alexander Kristoff,UAE-Team Emirates,101,10
Stan Dewulf,Lotto Soudal,100,4
Nikias Arndt,Team Sunweb,97,6
Winner Anacona,Movistar Team,96,4
Aurélien Paret-Peintre,AG2R La Mondiale,91,4
Kilian Frankiny,Groupama - FDJ,82,6
